id;city_id;name;created_at;updated_at
"010101";"010100";Kec. Kepulauan Seribu Selatan;;
"010102";"010100";Kec. Kepulauan Seribu Utara;;
"016001";"016000";Kec. Tanah Abang;;
"016002";"016000";Kec. Menteng;;
"016003";"016000";Kec. Senen;;
"016004";"016000";Kec. Johar Baru;;
"016005";"016000";Kec. Cempaka Putih;;
"016006";"016000";Kec. Kemayoran;;
"016007";"016000";Kec. Sawah Besar;;
"016008";"016000";Kec. Gambir;;
"016101";"016100";Kec. Penjaringan;;
"016102";"016100";Kec. Pademangan;;
"016103";"016100";Kec. Tanjung Priok;;
"016104";"016100";Kec. Koja;;
"016105";"016100";Kec. Kelapa Gading;;
"016106";"016100";Kec. Cilincing;;
"016201";"016200";Kec. Kembangan;;
"016202";"016200";Kec. Kebon Jeruk;;
"016203";"016200";Kec. Palmerah;;
"016204";"016200";Kec. Grogol Petamburan;;
"016205";"016200";Kec. Tambora;;
"016206";"016200";Kec. Taman Sari;;
"016207";"016200";Kec. Cengkareng;;
"016208";"016200";Kec. Kali Deres;;
"016301";"016300";Kec. Jagakarsa;;
"016302";"016300";Kec. Pasar Minggu;;
"016303";"016300";Kec. Cilandak;;
"016304";"016300";Kec. Pesanggrahan;;
"016305";"016300";Kec. Kebayoran Lama;;
"016306";"016300";Kec. Kebayoran Baru;;
"016307";"016300";Kec. Mampang Prapatan;;
"016308";"016300";Kec. Pancoran;;
"016309";"016300";Kec. Tebet;;
"016310";"016300";Kec. Setia Budi;;
"016401";"016400";Kec. Pasar Rebo;;
"016402";"016400";Kec. Ciracas;;
"016403";"016400";Kec. Cipayung;;
"016404";"016400";Kec. Makasar;;
"016405";"016400";Kec. Kramat Jati;;
"016406";"016400";Kec. Jatinegara;;
"016407";"016400";Kec. Duren Sawit;;
"016408";"016400";Kec. Cakung;;
"016409";"016400";Kec. Pulo Gadung;;
"016410";"016400";Kec. Matraman;;
"020501";"020500";Kec. Nanggung;;
"020502";"020500";Kec. Leuwiliang;;
"020503";"020500";Kec. Pamijahan;;
"020504";"020500";Kec. Cibungbulang;;
"020505";"020500";Kec. Ciampea;;
"020506";"020500";Kec. Dramaga;;
"020507";"020500";Kec. Ciomas;;
"020508";"020500";Kec. Cijeruk;;
"020509";"020500";Kec. Caringin;;
"020510";"020500";Kec. Ciawi;;
"020511";"020500";Kec. Cisarua;;
"020512";"020500";Kec. Megamendung;;
"020513";"020500";Kec. Sukaraja;;
"020514";"020500";Kec. Babakan Madang;;
"020515";"020500";Kec. Sukamakmur;;
"020516";"020500";Kec. Cariu;;
"020517";"020500";Kec. Jonggol;;
"020518";"020500";Kec. Cileungsi;;
"020519";"020500";Kec. Gunungputri;;
"020520";"020500";Kec. Citeureup;;
"020521";"020500";Kec. Cibinong;;
"020522";"020500";Kec. Bojong Gede;;
"020523";"020500";Kec. Kemang;;
"020524";"020500";Kec. Parung;;
